"Story","Title","Result","Date","Stability","Duration (s)"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding income Deposit to expense report","SUCCESS","2021-11-29T22:36:49.389+05:30[Asia/Kolkata]","0.0","15.33"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding income Salary to expense report","SUCCESS","2021-11-29T22:37:04.818+05:30[Asia/Kolkata]","0.0","6.4"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding income Savings to expense report","SUCCESS","2021-11-29T22:37:11.219+05:30[Asia/Kolkata]","0.0","6.47"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding expense Bills to expense report","SUCCESS","2021-11-29T22:37:17.69+05:30[Asia/Kolkata]","0.0","6.75"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding expense Clothes to expense report","SUCCESS","2021-11-29T22:37:24.45+05:30[Asia/Kolkata]","0.0","8.5"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding expense Eating out to expense report","SUCCESS","2021-11-29T22:37:32.956+05:30[Asia/Kolkata]","0.0","6.94"
"Adding expense and income to monefy app and verifying if correct values are reflected","Adding expense Health to expense report","SUCCESS","2021-11-29T22:37:39.902+05:30[Asia/Kolkata]","0.0","7.76"
"Adding expense and income to monefy app and verifying if correct values are reflected","Checking total balance","SUCCESS","2021-11-29T22:37:47.668+05:30[Asia/Kolkata]","0.0","0.68"
